accession	uniprot_accession	source_database	source_release	organism	lifestyle	length	cysteine_count	cysteine_fraction	publication_year	functional_evidence	experiment	q4_tool_independent	sequence_sha256
A0A0L0VYD3__2		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Puccinia striiformis	biotroph	177	2	0.011299	2016	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffectorP_3.0_positives;fungtion_positive_sequences	yes	9ba7391bf83e2d69fba6440c650b17195ddeb074d68f0aac45430c039f545996
A0A0M3Q8U4		PHI-base	v4.19	Phytophthora capsici	hemibiotroph	82	7	0.085366	2021	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	b84ffed638a6ab4e3ff582e318fead77e7d3b65d4ce44785a83f811eb2127db7
A0A0M4AMY8		PHI-base	v4.19	Valsa mali	unknown	370	8	0.021622	2021	hypersensitive response assay	Other evidence: transgenic plants	yes	6cd7e2c42d672d8c5568b89c3ce89966fdbec2f720cdfb0a8f4f4b3a4bb25ce5
A0A0M5K865	A0A0M5K865	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae; Phytophthora sojae (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	hemibiotroph	820	17	0.020732	2015	hypersensitive response assay	Altered gene expression / gene regulation: silencing; PEACE source memberships: WideEffHunter;pooe_positive_sequences	yes	4536d927c5d6332a83d9dbfe1fbbaee7d3bfa435d48d65588bc7a7bbc1c9b2b6
A0A0P0FZ34		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Blumeria graminis f. sp. tritici	biotroph	130	2	0.015385	2015	hypersensitive response assay	PEACE source memberships: EffectorP_2.0_validation;EffectorP_3.0_positives;Predector_positive_sequences;fungtion_positive_sequences; Predector literature record	yes	ae58ab70e4658f7bfcacff6dd6763b118d66e1f9fd8beddadb6e8537564ca98d
A0A0P1KYY9		PHI-base	v4.19	Colletotrichum graminicola	hemibiotroph	349	0	0.000000	2016	knockout virulence phenotype	Gene deletion: full; gene complementation	unknown	3537566d61dc2a2b70530d277ed3c33966215f5974e5f4dd4e80e0d621b0331b
A0A0S1MJK1		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phakopsora pachyrhizi	unknown	105	5	0.047619	2016	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffectorP_2.0_validation;EffectorP_3.0_positives;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences	yes	7d5da410d71c75f0bc77f666081efb95dd92f005332c90f06edef501222a1848
A0A0U2R974		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Leptosphaeria maculans	hemibiotroph	160	11	0.068750	2015	hypersensitive response assay	PEACE source memberships: EffectorP_2.0_validation;EffectorP_3.0_positives;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	b544093a67d8debd6147a96735d1a3970753343d59fb597cb4d9b83e1946e288
A0A142KWG0		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phakopsora pachyrhizi	unknown	182	12	0.065934	2016	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffectorP_2.0_validation;EffectorP_3.0_positives;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences	yes	5e5bce235039773a71d1b4b47212e873dc9a96a3d2cb60285839afb38d0a4639
A0A142KWI6		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Phakopsora pachyrhizi	unknown	291	20	0.068729	2016	validated host-target interaction	PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	no	0d25873c94542ab339ad69be6ced1affce41fda5fee3160939eefc386bb8999f
A0A169T708		PHI-base	v4.19	Fusarium oxysporum	hemibiotroph	214	6	0.028037	2016	hypersensitive response assay	Gene mutation; gene complementation	yes	e883062bef505f4529b1c6f93fdc5179dc600cda8cefd399a4c3dadccf678786
A0A180GHN3		PHI-base	v4.19	Puccinia triticina	biotroph	253	17	0.067194	2024	hypersensitive response assay	Altered gene expression / gene regulation: silencing	yes	ea0e4e77fd541a262933a1d0df0e24db4fcfd98e89d05d087e2504e2f2fd51bc
A0A194W4R1		PHI-base	v4.19	Valsa mali	unknown	553	15	0.027125	2025	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	cdd7a7ff6592f09f7241923c2410f41ef7cda9e4cfe3d287d6d8c4d786e7f319
A0A194WDN5		PHI-base	v4.19	Valsa mali	unknown	176	1	0.005682	2023	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	6d85268db6ba31651599ac34c7cb32ba0a0416dd7efb6f894df27609251daa29
A0A1B0RFQ0		PHI-base	v4.19	Pseudocercospora fuligena	unknown	128	8	0.062500	2016	hypersensitive response assay	Gene mutation	yes	fa3d645ad16706b16bd3c3440896baf9503b6ec3bc88e53581804833044f3983
A0A1B2CW13		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Melampsora lini	biotroph	150	3	0.020000	2016	hypersensitive response assay	PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	d28ee9fee791aed4fcfff318cedf9ca7f96b80240fdf84f954f44d17d2d698a0
A0A1B2CW89		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Melampsora lini	biotroph	166	1	0.006024	2016	hypersensitive response assay	PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	1bb09267bc3299e4169b38f95f9c60333c6771bccaaf73b2f9a8886ec16be838
A0A1B5KY51		PHI-base	v4.19	Ustilaginoidea virens	unknown	435	5	0.011494	2025	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	3398441d40139764f9968587b1848e28aab17662c9555681f4b2d28aa4af9b27
A0A1B5KZM5		PHI-base	v4.19	Ustilaginoidea virens	unknown	151	6	0.039735	2020	hypersensitive response assay	Functional test in host: transient expression	yes	f53277560fcb9926823c594b847b0c38bfddbea843ee9ad87e7dc7dfbe2e1fe4
A0A1C9II12		Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46	Colletotrichum falcatum	hemibiotroph	132	6	0.045455	2018	hypersensitive response assay	Predector literature record	unknown	510240d571fb8b115d3fb702df60a9ca09d824e3516afc03dac4d36c37b4658b
A0A1C9V3Q1		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Puccinia striiformis	biotroph	333	6	0.018018	2017	validated host-target interaction	PEACE source memberships: EffectorP_3.0_positives;fungtion_positive_sequences; Predector literature record	no	2ea85bb3ce65e66a09eacd2256d14023cc9c3a11d76f6995753f93baf0b66923
A0A1D9QD76	A0A1D9QD76	PHI-base	v4.19	Sclerotinia sclerotiorum; Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1) (White mold) (Whetzelinia sclerotiorum)	necrotroph	105	13	0.123810	2022	knockout virulence phenotype	Gene deletion: full; gene complementation	unknown	401b448d69a4dc22e0ad89c8eb0b9307707eb707e0fe2e211a0710868c6ae895
A0A1D9QGK0		PHI-base	v4.19	Sclerotinia sclerotiorum	necrotroph	373	4	0.010724	2025	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	33f1a350bc6283b4c077b936d75fc0a194243a77a51e3d4cd566459b26dfc6e3
A0A1L5JEG4		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Blumeria graminis f. sp. tritici	biotroph	119	4	0.033613	2016	hypersensitive response assay	PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	720d9e046cfa913bbf578df12b3419ddbfed33333038143b0ecfeb662079c848
A0A1P8W6L1		PHI-base	v4.19	Magnaporthe oryzae	hemibiotroph	126	1	0.007937	2022	hypersensitive response assay	Gene deletion: full	yes	7d0dbf98672ca6886d1d5bd170200fcc68f59570b542a83af08627764c408179
A0A1P8YXI8		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Fulvia fulva	biotroph	165	10	0.060606	2022	hypersensitive response assay	Heterologous expression; PEACE source memberships: EffectorP_3.0_positives;fungtion_positive_sequences	yes	09112c6826de5ea201626fdb01f9a5c5ef6bd480a24a140a6d6e30a81f799093
A0A1P8YXK1		PHI-base	v4.19	Fulvia fulva	biotroph	149	4	0.026846	2022	hypersensitive response assay	Gene deletion: full; gene complementation; other evidence: ectopic transformant	yes	574b999a9ceb855bfeaf52038f1dd137db4cb619b70633aff09746c4eba933ae
A0A219T3Y8		Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46	Magnaporthe oryzae	hemibiotroph	113	3	0.026549	2021	hypersensitive response assay	Predector literature record	yes	a810a12f6cee472468554584445de445addd1a3da01b5015e2005ff940ac2916
A0A226B923		PHI-base	v4.19	Cryptococcus neoformans	unknown	486	6	0.012346	2019	knockout virulence phenotype	Gene deletion: full; gene complementation	unknown	7528a2c23edfdcf678f5eb0b95ef9e58be38692eea26ed406d17a28ac35b7f0d
A0A2H1GTW7	P9WEM2	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Zymoseptoria tritici; Zymoseptoria tritici (strain CBS 115943 / IPO323) (Speckled leaf blotch fungus) (Septoria tritici)	hemibiotroph	103	5	0.048544	2021	hypersensitive response assay	Gene deletion: full; PEACE source memberships: Predector_positive_sequences;WideEffHunter	yes	f556b0e5c6582b31cadda91216a5b1a8e8bd4b863beff84314c865d1546e1f43
A0A2I6B3G6		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Puccinia graminis f. sp. tritici	biotroph	578	3	0.005190	2017	hypersensitive response assay	PEACE source memberships: EffectorP_2.0_validation;EffectorP_3.0_positives;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	72415ec685ee4ac22c5fe68da5da2b27fb5ccc2c513d3f1b1521295586dbb07d
A0A2P0ZEB6		PHI-base	v4.19	Blumeria graminis	biotroph	146	2	0.013699	2020	hypersensitive response assay	Altered gene expression / gene regulation: silencing; other evidence: transgenic plants	yes	eb2204909f8edb271f95aa9e9607caa833e5d6b5385b567a1ac8754ea19e4748
A0A2R2Z552	A0A2R2Z552	PHI-base	v4.19	Phytophthora capsici	hemibiotroph	342	4	0.011696	2018	hypersensitive response assay	Functional test in host: transient expression	yes	be1b73d44e0876471add9f3df3b9a3436fd0a3bd192b52df5984f623a8c9baa0
A0A2R2Z560	A0A2R2Z560	PHI-base	v4.19	Phytophthora capsici	hemibiotroph	277	3	0.010830	2018	hypersensitive response assay	Functional test in host: transient expression	yes	ba77803a30c382b1e360cd16bb5ca79e41ee10a7be5112cbf3c69c52f9c05579
A0A2R2Z561	A0A2R2Z561	PHI-base	v4.19	Phytophthora capsici	hemibiotroph	252	2	0.007937	2018	hypersensitive response assay	Functional test in host: transient expression	yes	d7117f290706ce8b0ec49cb1d8d33324a93aea1cd73089bb153d59060b87160a
A0A2R2Z564	A0A2R2Z564	PHI-base	v4.19	Phytophthora capsici	hemibiotroph	245	2	0.008163	2018	hypersensitive response assay	Functional test in host: transient expression	yes	3b26303a6205bb6726288746df370e98532243645e367572b74eeb918da55a01
A0A2R2Z570	A0A2R2Z570	PHI-base	v4.19	Phytophthora capsici	hemibiotroph	277	2	0.007220	2018	hypersensitive response assay	Functional test in host: transient expression	yes	defe94946e4e6979c9c94113844d0347fe626f7b11785d29f615db0de9170517
A0A2R2Z572	A0A2R2Z572	PHI-base	v4.19	Phytophthora capsici	hemibiotroph	280	4	0.014286	2018	hypersensitive response assay	Functional test in host: transient expression	yes	a01d8fd29b3ed3fd471430637fbceca8187754b8062dec88793b2434d97d66ba
A0A2R2Z574	A0A2R2Z574	PHI-base	v4.19	Phytophthora capsici	hemibiotroph	251	2	0.007968	2018	hypersensitive response assay	Functional test in host: transient expression	yes	369c7102a4a620c72b206452a219515a5e941daf411d672ca02091bc37730d47
A0A2R2Z575	A0A2R2Z575	PHI-base	v4.19	Phytophthora capsici	hemibiotroph	248	2	0.008065	2018	hypersensitive response assay	Functional test in host: transient expression	yes	6472a792e692d631caf94e2103b9630a09fb7d7fc3998d98fac5ed668e1e545d
A0A384J6C4	A0A384J6C4	PHI-base	v4.19	Botrytis cinerea; Botrytis cinerea (strain B05.10) (Noble rot fungus) (Botryotinia fuckeliana)	necrotroph	391	6	0.015345	2021	hypersensitive response assay	Gene deletion: full; gene complementation	yes	45397ff42b669bfa8d792796bca49c6799638f51b62028337c71133258f86793
A0A411NN20	A0A411NN20	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora capsici	hemibiotroph	174	1	0.005747	2019	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: fungtion_positive_sequences;pooe_positive_sequences	yes	85fecf59e71b002da6dd6ceba974fc9cf57913309bd526d106ec4a666be018dd
A0A444RJQ0		PHI-base	v4.19	Verticillium dahliae	hemibiotroph	323	18	0.055728	2025	hypersensitive response assay	Altered gene expression / gene regulation: overexpression	yes	a33fb88e85cbbd37937eb9d6ef329870c87a8d71699b7bdd751c9b06ade563eb
A0A4T0WF76		PHI-base	v4.19	Colletotrichum tabacum	hemibiotroph	87	5	0.057471	2024	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	818e7554f0f789752d2fd70b1424eb8078534555366f2d13c95e2bb0c6854ab0
A0A507D1H9		PHI-base	v4.19	Synchytrium endobioticum	unknown	375	2	0.005333	2019	hypersensitive response assay	Gene mutation	yes	b53cbf26ef46874f11e8f2b72ee4ae3bc6e893aa63d6bd522a94d4831f70868f
A0A5B0MRS6		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Puccinia graminis; Puccinia graminis f. sp. tritici	biotroph	132	0	0.000000	2017	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	b1d1697d849f62e161b50cd199d5aa63189bfb1f2a1e7977b13784500a60a143
A0A5B0P8V4		Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46	Puccinia graminis f. sp. tritici	biotroph	144	14	0.097222	2021	hypersensitive response assay	Predector literature record	yes	b951d91df07530edf9b4dbed842f8e9cd57f59269a9b5a376d83013eb799212c
A0A5B0PKJ8		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Puccinia graminis f. sp. tritici	biotroph	144	15	0.104167	2021	hypersensitive response assay	PEACE source memberships: EffectorP_3.0_positives;fungtion_positive_sequences; Predector literature record	yes	f0c3756111dbe68a217e1f84bcf7763c602c4281a9f3b15ffba3d9f611802b8f
A0A5B0PMB3		Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46	Puccinia graminis f. sp. tritici	biotroph	144	15	0.104167	2021	hypersensitive response assay	Predector literature record	yes	703b4fdcce4c89d063390f114517009b93c953da036d04d6ee5bda8880f7ef35
A0A5J6DDN9		Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46	Puccinia striiformis f. sp. tritici	biotroph	219	9	0.041096	2019	validated host-target interaction	Predector literature record	unknown	df6fd478464a61bc3b7b87842ea24bd7e93a9a02b9948fb0374ca5c0c6d47bcd
A0A6B7L9I7		PHI-base	v4.19	Cercospora cf. flagellaris	unknown	129	9	0.069767	2020	hypersensitive response assay	Gene deletion: full	yes	15132ca8747ad10149b81adda46a93ca284de5a0ce2f878356b8077abc6dc02b
A0A6M4FAR2		PHI-base	v4.19	Colletotrichum fructicola	hemibiotroph	85	8	0.094118	2020	hypersensitive response assay	Gene deletion: full; gene complementation	yes	b592b6585920967c31f764ef44f97d5b357701235839a7cd56964e411b2cc053
A0A7G5WGW9		PHI-base	v4.19	Fusarium oxysporum	hemibiotroph	122	7	0.057377	2022	hypersensitive response assay	Gene deletion: partial	yes	de1ac5dcd1a4c19c74331f0063886c546fe0948a63dfff74e027bfce8019457e
A0A8E5HLT0		PHI-base	v4.19	Ustilaginoidea virens	unknown	366	1	0.002732	2025	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	0a231291afb636259e47e28587f9d77f1f353a5e28b0577b1da1f469594b1446
A0A8E5JS15		PHI-base	v4.19	Phytophthora capsici	hemibiotroph	135	13	0.096296	2021	hypersensitive response assay	Gene mutation; other evidence: transgenic plants	yes	1020bcac8be6ced465d225652db26fde2d0334a681a10e4b25320d0d60aa2b79
A0A8H7MAE0		PHI-base	v4.19	Pseudocercospora fuligena	unknown	101	10	0.099010	2021	hypersensitive response assay	Other evidence: transgenic plants	yes	d0c196fb15bb03510a23524ea9214c384fb795f5da1aa1d74c6e840b4fa359d3
A0A9X9QEV5		PHI-base	v4.19	Blumeria graminis	biotroph	109	3	0.027523	2025	hypersensitive response assay	Altered gene expression / gene regulation: silencing	yes	dba8107e32b056e5199ec5a84e36d8822500380fb5dc1083ab69bddd8bd3bcde
A0N0D1		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Magnaporthe grisea; Magnaporthe oryzae	hemibiotroph	316	0	0.000000	2011	hypersensitive response assay	Functional test in host; PEACE source memberships: EffectorP_3.0_positives;fungtion_positive_sequences; Predector literature record	yes	e63a8342b05ed15d558e41a860356f21ec9e198d962e0c251a2b3b2836015f4a
A4F4L2		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Leptosphaeria maculans	hemibiotroph	144	6	0.041667	2007	hypersensitive response assay	Gene complementation; PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	99fb0f82e8a962de0f13553dfd5fe315f3e31de2b9e526903fb6ab3201010c92
A4L9T6		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae	hemibiotroph	121	0	0.000000	2009	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter; Predector literature record	yes	5746d222212a3f26caf27b30b58c2ada6feada580766130568809949f773d008
A4LAA7		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae	hemibiotroph	126	0	0.000000	2014	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: pooe_positive_sequences	yes	b10ed994adcf7cf7c7eb3b84c4c497ecb5ee70b4086799d27c4d8c1fd532fea6
A4QVZ8	A4QVZ8	PHI-base	v4.19	Magnaporthe oryzae; Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Magnaporthe oryzae)	hemibiotroph	1503	12	0.007984	2023	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	39f9a9e1bd48e33b002fb817dcd70c7815a749c51b9ecaa4f72ba305a0e7e050
A5YTY8		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae	hemibiotroph	111	0	0.000000	2009	hypersensitive response assay	Altered gene expression / gene regulation: silencing; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter; Predector literature record	yes	a896abe8591e1d42c06516c980a7606e3785f0c786147f8eb75c8b3d6f19f8a7
A7E6C4		PHI-base	v4.19	Sclerotinia sclerotiorum	necrotroph	152	4	0.026316	2024	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	a4681083ca8dab76893de9c9a27128ca54608583c3b81bf99890029163f74da0
A7E9T8		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Sclerotinia sclerotiorum	necrotroph	163	8	0.049080	2016	validated host-target interaction	PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	no	02745c86e18aed3aa566082735a3602a27aa6ed5360d8bcc9ea209c0fbdcf3a4
A7EXN1		Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46	Sclerotinia sclerotiorum	necrotroph	137	4	0.029197	2017	validated host-target interaction	Predector literature record	unknown	41e845ac23b74be65da441aa5b32fb00c41970bab15e55344a50207f2036ae6d
A7F1J8		PHI-base	v4.19	Sclerotinia sclerotiorum	necrotroph	248	2	0.008065	2021	hypersensitive response assay	Gene deletion: full	yes	afcd79e95fbc3ba299407ae2ae1de5df06291d27afd9046e7c6cf068e9bfdddd
A7L812		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae	hemibiotroph	123	0	0.000000	2007	hypersensitive response assay	Altered gene expression / gene regulation: silencing; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter;pooe_positive_sequences; Predector literature record	yes	37029d24c58ec74941b79206e41af72d94626dc51fa48d24693b5d76b43da98d
A9JX75	A9JX75	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Parastagonospora nodorum; Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) (Glume blotch fungus) (Parastagonospora nodorum)	necrotroph	117	16	0.136752	2012	hypersensitive response assay	Gene mutation; PEACE source memberships: FunEffector-Pred	yes	708bafcee8042fa0a6b4f17b93253496c74bdee58098f17b9dc99f16af7fc411
AEQ16461.1		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Blumeria graminis f. sp. hordei	biotroph	114	1	0.008772	2013	validated host-target interaction	PEACE source memberships: Predector_positive_sequences; Predector literature record	unknown	6b002e3a8ae0bbbcbbf5b0e74e41369f1f8cf73e80a872382c42c53a120ae6ec
B1NNT7	B1NNT7	PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora infestans; Phytophthora infestans (strain T30-4) (Potato late blight agent)	hemibiotroph	287	0	0.000000	2008	hypersensitive response assay	Functional test in host: direct injection; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter;pooe_positive_sequences; Predector literature record	yes	7af409156ee7e82b7ea34b1c14cdea8a60652c952fc69d6c32d93056429556fc
B2C6F3		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae	hemibiotroph	504	0	0.000000	2012	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter;pooe_positive_sequences	yes	8348b977d14eb0ef133d3c27585318a24e5c50ae72e0d263be23acab08e454eb
B2C6F5	G4ZRQ7	PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae; Phytophthora sojae (strain P6497) (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	hemibiotroph	279	4	0.014337	2010	hypersensitive response assay	Altered gene expression / gene regulation: silencing; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter;pooe_positive_sequences; Predector literature record	yes	e4e5e64edfebf8c180932cb6af15282e5df48698d293f2ff44e817d0a98807a4
B2C6F8		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	415	0	0.000000	2012	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter	yes	3276e47b7ca619d4c5d3155236669b7c9c8a342ffcd98c298a9a9b335c162562
B2ZCS6		Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46	Melampsora larici-populina	biotroph	111	11	0.099099	2017	hypersensitive response assay	Predector literature record	yes	fdbc4b4d8365597370f3a34f4b7867fb3785599241d2372b2ffa7b6ee95ab71e
B9A9V1		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Magnaporthe oryzae	hemibiotroph	147	2	0.013605	2010	hypersensitive response assay	Functional test in host; PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences	yes	943bf5c9c5d99ecf14af7b63229436786f23e897713e02f3e64d9a64263b7d7f
B9WZW9		PHI-base	v4.19	Magnaporthe oryzae	hemibiotroph	85	2	0.023529	2007	hypersensitive response assay	Sexual cross, sequencing of resistance conferring allele	yes	3beb3462349141ce0f3e008b2a8dc88d0655200ffc0624a89bc750f4e03bc821
B9ZUL0		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Leptosphaeria maculans	hemibiotroph	143	8	0.055944	2008	hypersensitive response assay	Gene disruption; gene complementation; PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	3d699543343be1d284736b5c22de9974e0b210138e2845bb17096c882c9fe15b
C0LF23		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae	hemibiotroph	220	1	0.004545	2009	hypersensitive response assay	Gene mutation; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter;pooe_positive_sequences; Predector literature record	yes	ee693e9505b02e8892bdc96be61f5884ffa357e82683b9c51cd7df78ea071731
