accession	organism	length	status
A2QEK7	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	901	unlabelled_candidate_not_verified_negative
A2QEN5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	398	unlabelled_candidate_not_verified_negative
A2QEP2	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	324	unlabelled_candidate_not_verified_negative
A2QEQ6	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	541	unlabelled_candidate_not_verified_negative
A2QEV8	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	337	unlabelled_candidate_not_verified_negative
A2QEW2	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	440	unlabelled_candidate_not_verified_negative
A2QF55	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	180	unlabelled_candidate_not_verified_negative
A2QFH1	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	214	unlabelled_candidate_not_verified_negative
A2QFJ9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	614	unlabelled_candidate_not_verified_negative
A2QFK0	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1114	unlabelled_candidate_not_verified_negative
A2QFL3	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	495	unlabelled_candidate_not_verified_negative
A2QFN7	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	379	unlabelled_candidate_not_verified_negative
A2QFV7	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	327	unlabelled_candidate_not_verified_negative
A2QFV9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	332	unlabelled_candidate_not_verified_negative
A2QG68	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	429	unlabelled_candidate_not_verified_negative
A2QGA1	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	488	unlabelled_candidate_not_verified_negative
A2QGD9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	595	unlabelled_candidate_not_verified_negative
A2QGF0	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	726	unlabelled_candidate_not_verified_negative
A2QGH7	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	636	unlabelled_candidate_not_verified_negative
A2QGR5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	614	unlabelled_candidate_not_verified_negative
A2QGS5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	456	unlabelled_candidate_not_verified_negative
A2QH21	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	460	unlabelled_candidate_not_verified_negative
A2QHC2	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	873	unlabelled_candidate_not_verified_negative
A2QHE5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	500	unlabelled_candidate_not_verified_negative
A2QHG0	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	438	unlabelled_candidate_not_verified_negative
A2QHG9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	197	unlabelled_candidate_not_verified_negative
A2QHH4	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1472	unlabelled_candidate_not_verified_negative
A2QHM1	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	308	unlabelled_candidate_not_verified_negative
A2QHV0	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1336	unlabelled_candidate_not_verified_negative
A2QHX0	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	431	unlabelled_candidate_not_verified_negative
A2QI22	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	490	unlabelled_candidate_not_verified_negative
A2QI25	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	678	unlabelled_candidate_not_verified_negative
A2QI68	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	631	unlabelled_candidate_not_verified_negative
A2QI73	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	644	unlabelled_candidate_not_verified_negative
A2QI77	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	801	unlabelled_candidate_not_verified_negative
A2QID5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	269	unlabelled_candidate_not_verified_negative
A2QIK9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	823	unlabelled_candidate_not_verified_negative
A2QIL2	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	810	unlabelled_candidate_not_verified_negative
A2QIL5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1007	unlabelled_candidate_not_verified_negative
A2QJ14	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	739	unlabelled_candidate_not_verified_negative
A2QJF9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	623	unlabelled_candidate_not_verified_negative
A2QJH4	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	563	unlabelled_candidate_not_verified_negative
A2QJI5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	463	unlabelled_candidate_not_verified_negative
A2QJX5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	832	unlabelled_candidate_not_verified_negative
A2QJZ4	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	304	unlabelled_candidate_not_verified_negative
A2QK64	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	303	unlabelled_candidate_not_verified_negative
A2QK65	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	413	unlabelled_candidate_not_verified_negative
A2QK66	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1663	unlabelled_candidate_not_verified_negative
A2QK67	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	420	unlabelled_candidate_not_verified_negative
A2QK68	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	608	unlabelled_candidate_not_verified_negative
A2QK82	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	327	unlabelled_candidate_not_verified_negative
A2QKF6	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	466	unlabelled_candidate_not_verified_negative
A2QKF8	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	618	unlabelled_candidate_not_verified_negative
A2QKG2	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	237	unlabelled_candidate_not_verified_negative
A2QKT4	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	383	unlabelled_candidate_not_verified_negative
A2QL39	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	384	unlabelled_candidate_not_verified_negative
A2QL72	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	537	unlabelled_candidate_not_verified_negative
A2QL84	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	994	unlabelled_candidate_not_verified_negative
A2QLJ9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	941	unlabelled_candidate_not_verified_negative
A2QLK4	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1897	unlabelled_candidate_not_verified_negative
A2QLL1	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	716	unlabelled_candidate_not_verified_negative
A2QLV1	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1091	unlabelled_candidate_not_verified_negative
A2QM49	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	582	unlabelled_candidate_not_verified_negative
A2QMB8	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	236	unlabelled_candidate_not_verified_negative
A2QMH1	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	488	unlabelled_candidate_not_verified_negative
A2QMS5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1030	unlabelled_candidate_not_verified_negative
A2QMY6	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	154	unlabelled_candidate_not_verified_negative
A2QN07	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	396	unlabelled_candidate_not_verified_negative
A2QN74	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	684	unlabelled_candidate_not_verified_negative
A2QNG6	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	915	unlabelled_candidate_not_verified_negative
A2QNQ5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1371	unlabelled_candidate_not_verified_negative
A2QNW5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	316	unlabelled_candidate_not_verified_negative
A2QP30	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	443	unlabelled_candidate_not_verified_negative
A2QPC3	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	331	unlabelled_candidate_not_verified_negative
A2QPD9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	499	unlabelled_candidate_not_verified_negative
A2QPG2	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	452	unlabelled_candidate_not_verified_negative
A2QPK4	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	754	unlabelled_candidate_not_verified_negative
A2QPN1	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	118	unlabelled_candidate_not_verified_negative
A2QPN9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	258	unlabelled_candidate_not_verified_negative
A2QPT2	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	175	unlabelled_candidate_not_verified_negative
A2QPW5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	612	unlabelled_candidate_not_verified_negative
A2QPZ4	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	788	unlabelled_candidate_not_verified_negative
A2QQ09	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	721	unlabelled_candidate_not_verified_negative
A2QQ10	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	375	unlabelled_candidate_not_verified_negative
A2QQ28	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	821	unlabelled_candidate_not_verified_negative
A2QQ94	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	505	unlabelled_candidate_not_verified_negative
A2QQA2	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	365	unlabelled_candidate_not_verified_negative
A2QQA8	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1180	unlabelled_candidate_not_verified_negative
A2QQU4	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	322	unlabelled_candidate_not_verified_negative
A2QQU5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	366	unlabelled_candidate_not_verified_negative
A2QQU8	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	416	unlabelled_candidate_not_verified_negative
A2QQU9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	497	unlabelled_candidate_not_verified_negative
A2QQV0	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	3605	unlabelled_candidate_not_verified_negative
A2QQV6	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	539	unlabelled_candidate_not_verified_negative
A2QR20	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	858	unlabelled_candidate_not_verified_negative
A2QRA0	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	749	unlabelled_candidate_not_verified_negative
A2QRF6	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	365	unlabelled_candidate_not_verified_negative
A2QRG2	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	404	unlabelled_candidate_not_verified_negative
A2QRR5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	136	unlabelled_candidate_not_verified_negative
A2QRY2	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	932	unlabelled_candidate_not_verified_negative
A2QS00	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	802	unlabelled_candidate_not_verified_negative
A2QS05	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	695	unlabelled_candidate_not_verified_negative
A2QSC9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	2221	unlabelled_candidate_not_verified_negative
A2QSG6	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	919	unlabelled_candidate_not_verified_negative
A2QSY5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	281	unlabelled_candidate_not_verified_negative
A2QT85	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	321	unlabelled_candidate_not_verified_negative
A2QTE3	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	461	unlabelled_candidate_not_verified_negative
A2QTE5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	539	unlabelled_candidate_not_verified_negative
A2QTE7	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	443	unlabelled_candidate_not_verified_negative
A2QTE8	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	488	unlabelled_candidate_not_verified_negative
A2QTE9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	2617	unlabelled_candidate_not_verified_negative
A2QTJ1	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1203	unlabelled_candidate_not_verified_negative
A2QTS4	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	555	unlabelled_candidate_not_verified_negative
A2QTU0	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	495	unlabelled_candidate_not_verified_negative
A2QTU5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	736	unlabelled_candidate_not_verified_negative
A2QTW5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	517	unlabelled_candidate_not_verified_negative
A2QTX8	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	600	unlabelled_candidate_not_verified_negative
A2QU15	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	914	unlabelled_candidate_not_verified_negative
A2QU25	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	666	unlabelled_candidate_not_verified_negative
A2QU58	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	438	unlabelled_candidate_not_verified_negative
A2QU71	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	151	unlabelled_candidate_not_verified_negative
A2QU77	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	427	unlabelled_candidate_not_verified_negative
A2QUI2	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	2153	unlabelled_candidate_not_verified_negative
A2QUJ2	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	424	unlabelled_candidate_not_verified_negative
A2QUM3	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	125	unlabelled_candidate_not_verified_negative
A2QUQ2	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1257	unlabelled_candidate_not_verified_negative
A2QUR1	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	477	unlabelled_candidate_not_verified_negative
A2QUS7	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	627	unlabelled_candidate_not_verified_negative
A2QUY7	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	482	unlabelled_candidate_not_verified_negative
A2QV36	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	323	unlabelled_candidate_not_verified_negative
A2QVS9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	609	unlabelled_candidate_not_verified_negative
A2QVZ0	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	340	unlabelled_candidate_not_verified_negative
A2QW65	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	373	unlabelled_candidate_not_verified_negative
A2QW66	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	434	unlabelled_candidate_not_verified_negative
A2QW83	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1150	unlabelled_candidate_not_verified_negative
A2QW93	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	611	unlabelled_candidate_not_verified_negative
A2QWA2	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	703	unlabelled_candidate_not_verified_negative
A2QWA6	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	958	unlabelled_candidate_not_verified_negative
A2QWM4	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	799	unlabelled_candidate_not_verified_negative
A2QWT2	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	443	unlabelled_candidate_not_verified_negative
A2QWU9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	931	unlabelled_candidate_not_verified_negative
A2QWW0	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	766	unlabelled_candidate_not_verified_negative
A2QWW3	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	234	unlabelled_candidate_not_verified_negative
A2QX22	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1793	unlabelled_candidate_not_verified_negative
A2QX23	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	317	unlabelled_candidate_not_verified_negative
A2QX25	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	249	unlabelled_candidate_not_verified_negative
A2QX45	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1362	unlabelled_candidate_not_verified_negative
A2QX52	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	830	unlabelled_candidate_not_verified_negative
A2QXE8	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	448	unlabelled_candidate_not_verified_negative
A2QXL3	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	338	unlabelled_candidate_not_verified_negative
A2QY22	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	874	unlabelled_candidate_not_verified_negative
A2QY39	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	505	unlabelled_candidate_not_verified_negative
A2QY49	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	141	unlabelled_candidate_not_verified_negative
A2QY50	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	404	unlabelled_candidate_not_verified_negative
A2QY54	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	358	unlabelled_candidate_not_verified_negative
A2QYD4	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	825	unlabelled_candidate_not_verified_negative
A2QYE5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	446	unlabelled_candidate_not_verified_negative
A2QYG2	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	88	unlabelled_candidate_not_verified_negative
A2QYR9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	459	unlabelled_candidate_not_verified_negative
A2QYT9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	549	unlabelled_candidate_not_verified_negative
A2QYX4	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	5054	unlabelled_candidate_not_verified_negative
A2QZ71	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	633	unlabelled_candidate_not_verified_negative
A2QZA2	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	621	unlabelled_candidate_not_verified_negative
A2QZI3	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	303	unlabelled_candidate_not_verified_negative
A2R060	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	435	unlabelled_candidate_not_verified_negative
A2R091	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	155	unlabelled_candidate_not_verified_negative
A2R0B5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	440	unlabelled_candidate_not_verified_negative
A2R0E0	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	537	unlabelled_candidate_not_verified_negative
A2R0Z5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	884	unlabelled_candidate_not_verified_negative
A2R0Z6	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	521	unlabelled_candidate_not_verified_negative
A2R156	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	285	unlabelled_candidate_not_verified_negative
A2R180	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1434	unlabelled_candidate_not_verified_negative
A2R1F6	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1119	unlabelled_candidate_not_verified_negative
A2R1P9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	315	unlabelled_candidate_not_verified_negative
A2R2E3	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1169	unlabelled_candidate_not_verified_negative
A2R2G1	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	391	unlabelled_candidate_not_verified_negative
A2R2G5	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1008	unlabelled_candidate_not_verified_negative
A2R2L1	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	531	unlabelled_candidate_not_verified_negative
A2R2Q4	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	115	unlabelled_candidate_not_verified_negative
A2R2S6	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	660	unlabelled_candidate_not_verified_negative
A2R2S8	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	184	unlabelled_candidate_not_verified_negative
A2R2V4	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	480	unlabelled_candidate_not_verified_negative
A2R2W3	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	262	unlabelled_candidate_not_verified_negative
A2R345	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1387	unlabelled_candidate_not_verified_negative
A2R350	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1531	unlabelled_candidate_not_verified_negative
A2R3A7	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	692	unlabelled_candidate_not_verified_negative
A2R3F3	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	499	unlabelled_candidate_not_verified_negative
A2R3G4	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	558	unlabelled_candidate_not_verified_negative
A2R3H4	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	482	unlabelled_candidate_not_verified_negative
A2R3I1	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	379	unlabelled_candidate_not_verified_negative
A2R3L3	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	394	unlabelled_candidate_not_verified_negative
A2R3N6	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	434	unlabelled_candidate_not_verified_negative
A2R3X3	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	841	unlabelled_candidate_not_verified_negative
A2R475	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	366	unlabelled_candidate_not_verified_negative
A2R4D1	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	211	unlabelled_candidate_not_verified_negative
A2R4I0	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	323	unlabelled_candidate_not_verified_negative
A2R4J9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	189	unlabelled_candidate_not_verified_negative
A2R4N0	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	484	unlabelled_candidate_not_verified_negative
A2R4T4	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1914	unlabelled_candidate_not_verified_negative
A2R4V1	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	202	unlabelled_candidate_not_verified_negative
A2R511	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	499	unlabelled_candidate_not_verified_negative
A2R5A0	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	321	unlabelled_candidate_not_verified_negative
A2R5J1	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	1270	unlabelled_candidate_not_verified_negative
A2R5N0	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	412	unlabelled_candidate_not_verified_negative
A2R5S4	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	362	unlabelled_candidate_not_verified_negative
A2R5W7	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	945	unlabelled_candidate_not_verified_negative
